,callsign,number,icao24,registration,typecode,origin,destination,firstseen,lastseen,day,latitude_1,longitude_1,altitude_1,latitude_2,longitude_2,altitude_2
18806,WZZ2266,,471f86,HA-LYK,A320,EPWA,LIRF,2019-07-01 04:13:48+00:00,2019-07-01 06:22:20+00:00,2019-07-01 00:00:00+00:00,52.164110086731995,20.968505859375,0.0,41.848646260924255,12.21245344295058,167.64
19191,AAR561,,71bf39,HL7739,B772,RKSI,LIRF,2019-07-01 04:21:10+00:00,2019-07-01 15:39:24+00:00,2019-07-01 00:00:00+00:00,37.48604984606728,126.432873269786,304.8,41.85076904296875,12.21161582253196,198.12
19345,RYR7104,FR7104,4ca97a,EI-ESS,B738,,LIRF,2019-07-01 04:24:04+00:00,2019-07-01 05:19:46+00:00,2019-07-01 00:00:00+00:00,40.72510800119174,17.78355685147372,1219.2,41.86493954416049,12.25346055141715,83.82000000000002
19350,RYR6341,FR6341,4ca65a,EI-FRI,B738,LEBL,LIRF,2019-07-01 04:24:10+00:00,2019-07-01 05:59:33+00:00,2019-07-01 00:00:00+00:00,41.25203278105138,2.060810435901989,609.6,41.89132690429688,12.24245244806463,243.84
19432,RYR7093,FR7093,4cab71,EI-FZM,B738,LIBD,LIRF,2019-07-01 04:25:41+00:00,2019-07-01 05:13:54+00:00,2019-07-01 00:00:00+00:00,41.13434872384799,16.74578579989346,0.0,41.86619567871094,12.25306424227628,91.44
19668,RYR256Z,FR4901,4caa5d,EI-EVY,B738,,LIRF,2019-07-01 04:30:18+00:00,2019-07-01 05:25:45+00:00,2019-07-01 00:00:00+00:00,38.31835730601165,12.9063083814538,2743.2,41.84492208189883,12.21398641896802,144.78
19680,AZA1590,AZ1590,4ca666,EI-DSL,A320,LIEE,LIRF,2019-07-01 04:30:34+00:00,2019-07-01 05:23:55+00:00,2019-07-01 00:00:00+00:00,39.24380493164062,9.063243036684783,0.0,41.87080512612553,12.25109721339026,114.3
19773,EWG5PA,EW5882,3c5ee1,D-AGWA,A319,LOWW,LIRF,2019-07-01 04:32:17+00:00,2019-07-01 05:49:32+00:00,2019-07-01 00:00:00+00:00,48.112994695113876,16.56350942758413,0.0,41.87992936473782,12.24707315134448,175.26
19786,AZA1432,AZ1432,4ca900,EI-EID,A320,LIMF,LIRF,2019-07-01 04:32:35+00:00,2019-07-01 05:31:57+00:00,2019-07-01 00:00:00+00:00,45.27781677246094,7.685655866350446,1219.2,41.88304138183594,12.24594809792259,198.12
19822,RYR4851,FR4851,4ca568,EI-DWC,B738,,LIRF,2019-07-01 04:33:15+00:00,2019-07-01 05:39:51+00:00,2019-07-01 00:00:00+00:00,37.71140922934322,15.3278981084409,3962.4,41.86670852919757,12.25275793740916,76.2
19889,LDM64M,,44059f,,,LOWW,LIRF,2019-07-01 04:34:16+00:00,2019-07-01 05:57:58+00:00,2019-07-01 00:00:00+00:00,48.11814880371094,16.54774475097656,0.0,41.85525512695312,12.20961830832741,190.5
19977,AZA11MR,,4caaa8,EI-IMW,A319,,LIRF,2019-07-01 04:35:45+00:00,2019-07-01 05:33:23+00:00,2019-07-01 00:00:00+00:00,38.932102009401476,16.01202392578125,2133.6,41.91596079680879,12.23212663517442,388.62
20008,LZB449,,451e8c,LZ-FBB,A319,,LIRF,2019-07-01 04:36:39+00:00,2019-07-01 06:16:17+00:00,2019-07-01 00:00:00+00:00,42.39930725097656,23.2533125443892,4267.2,41.84243774414062,12.21511147238991,129.54
20051,NAX7144,,47c5c5,LN-LNB,B788,KBOS,LIRF,2019-07-01 04:37:15+00:00,2019-07-01 12:09:23+00:00,2019-07-01 00:00:00+00:00,42.38292629435911,-71.02942178415697,304.8,41.84687727588718,12.21328380496003,152.4
20067,AZA5RK,,4ca9b3,EI-IMP,A319,LIML,LIRF,2019-07-01 04:37:33+00:00,2019-07-01 05:36:09+00:00,2019-07-01 00:00:00+00:00,45.45332336425781,9.276188441685267,0.0,41.86680163367321,12.25275793740916,99.06
20176,AZA8PZ,,4ca7bf,EI-DTG,A320,LIPZ,LIRF,2019-07-01 04:39:38+00:00,2019-07-01 05:33:26+00:00,2019-07-01 00:00:00+00:00,45.513890153270644,12.380854909012964,0.0,41.87237548828125,12.26954373446378,106.68
20269,AZA1380,AZ1380,4ca98a,EI-IMN,A319,LIMJ,LIRF,2019-07-01 04:41:28+00:00,2019-07-01 05:27:58+00:00,2019-07-01 00:00:00+00:00,44.417957370564096,8.771243211699696,914.4,41.86582403667902,12.25314118141352,83.82000000000002
20362,AZA317,AZ317,4ca798,EI-DTE,A320,LFPG,LIRF,2019-07-01 04:42:41+00:00,2019-07-01 06:28:23+00:00,2019-07-01 00:00:00+00:00,48.998325153932726,2.530324835526315,0.0,41.84394836425781,12.21748352050781,76.2
20523,AZA075,,4ca8d0,EI-IKB,A320,LEBL,LIRF,2019-07-01 04:45:41+00:00,2019-07-01 06:16:52+00:00,2019-07-01 00:00:00+00:00,41.24226379394531,2.06317138671875,609.6,41.86382229045286,12.25409929142442,91.44
