,callsign,number,icao24,registration,typecode,origin,destination,firstseen,lastseen,day,latitude_1,longitude_1,altitude_1,latitude_2,longitude_2,altitude_2
22303,AEA55KN,,345352,EC-MPE,B788,LEMD,LIMC,2021-07-01 06:03:10+00:00,2021-07-01 07:30:57+00:00,2021-07-01 00:00:00+00:00,40.5115728863215,-3.55925820090556,304.8,45.62539672851562,8.734800757431403,220.98
22305,CES7463,,780851,B-6546,A332,,LIMC,2021-07-01 06:03:13+00:00,2021-07-01 13:00:59+00:00,2021-07-01 00:00:00+00:00,52.99562072753906,89.83787536621094,10972.8,45.61441040039062,8.737882288490855,236.22
22327,LOT317,LO317,489785,SP-LDE,E170,EPWA,LIMC,2021-07-01 06:03:44+00:00,2021-07-01 07:52:13+00:00,2021-07-01 00:00:00+00:00,52.16364456435381,20.97462681361607,0.0,45.62759399414062,8.734264838986281,220.98
23836,UAE205,,89610f,A6-ECH,B77W,OMDB,LIMC,2021-07-01 06:43:00+00:00,2021-07-01 12:39:48+00:00,2021-07-01 00:00:00+00:00,25.25174932964778,55.37363304282135,0.0,45.63070678710938,8.733393971512958,228.6
23842,SAS71K,,45ac50,OY-KBP,A319,EKCH,LIMC,2021-07-01 06:43:05+00:00,2021-07-01 08:25:16+00:00,2021-07-01 00:00:00+00:00,55.62039184570312,12.659912109375,0.0,45.62566207627118,8.734748840332031,213.36
23994,TDR9501,,501d7d,9A-BTE,F100,LIRF,LIMC,2021-07-01 06:47:03+00:00,2021-07-01 07:44:12+00:00,2021-07-01 00:00:00+00:00,41.79869570974576,12.24151611328125,0.0,45.61679077148438,8.7392890744093,220.98
24050,JPV452P,,3c942d,D-BEAM,CL30,,LIMC,2021-07-01 06:48:30+00:00,2021-07-01 07:19:19+00:00,2021-07-01 00:00:00+00:00,43.83522033691406,11.07785956804143,2743.2,45.6229248046875,8.735537645293446,213.36
24067,ABR472,,39666a,F-GZTK,B734,LEMD,LIMC,2021-07-01 06:49:03+00:00,2021-07-01 08:20:08+00:00,2021-07-01 00:00:00+00:00,40.5399169921875,-3.58465576171875,304.8,45.63894653320312,8.716110601657775,243.84
24279,EJU52CN,,440248,,,LIEO,LIMC,2021-07-01 06:55:30+00:00,2021-07-01 08:01:29+00:00,2021-07-01 00:00:00+00:00,40.87291135626324,9.467780373313213,914.4,45.61700336003707,8.737152099609375,228.6
24308,WZZ1CD,,471f38,,,,LIMC,2021-07-01 06:56:30+00:00,2021-07-01 08:03:44+00:00,2021-07-01 00:00:00+00:00,40.69743347167969,13.93658447265625,5181.6,45.61374470338983,8.738044738769531,243.84
24330,DLH9KJ,LH248,3c658b,D-AILK,A319,EDDF,LIMC,2021-07-01 06:57:04+00:00,2021-07-01 07:49:49+00:00,2021-07-01 00:00:00+00:00,50.04458999633789,8.561313026829769,0.0,45.62164306640625,8.735872594321647,205.74
24352,YUGSF,,4c1a45,,,UUWW,LIMC,2021-07-01 06:57:56+00:00,2021-07-01 09:55:21+00:00,2021-07-01 00:00:00+00:00,55.57340977555614,37.20485687255859,914.4,45.62608104641154,8.73468017578125,213.36
24488,EFD4E,,3ccb16,D-CEFE,C25C,EHEH,LIMC,2021-07-01 07:01:38+00:00,2021-07-01 08:17:58+00:00,2021-07-01 00:00:00+00:00,51.44729872881356,5.371475219726562,0.0,45.62277583752648,8.735504150390625,220.98
