,origin,destination,total,year,month
EDTD,1.0,1.0,2.0,2020,7
LGKN,8.0,,,2020,7
EPPO,7.0,,,2020,7
HECA,6.0,,,2020,7
DAAG,5.0,,,2020,7
WSSS,4.0,,,2020,7
LEZG,3.0,,,2020,7
LIRS,2.0,,,2020,7
GMMT,2.0,,,2020,7
LFMQ,2.0,,,2020,7
LRBS,2.0,,,2020,7
EPZB,2.0,,,2020,7
LFTH,2.0,,,2020,7
VGTJ,2.0,,,2020,7
EDSB,2.0,,,2020,7
EGTF,1.0,,,2020,7
LFBH,1.0,,,2020,7
EGNP,1.0,,,2020,7
EPRZ,1.0,,,2020,7
LFSN,1.0,,,2020,7
GBYD,1.0,,,2020,7
LIRP,1.0,,,2020,7
LKKA,1.0,,,2020,7
VVTS,1.0,,,2020,7
LIPI,1.0,,,2020,7
LIDF,1.0,,,2020,7
LDRI,1.0,,,2020,7
LFMP,1.0,,,2020,7
LBWV,1.0,,,2020,7
EDDC,1.0,,,2020,7
EGCN,1.0,,,2020,7
ESMS,1.0,,,2020,7
LOXZ,1.0,,,2020,7
LIDV,1.0,,,2020,7
LPAZ,1.0,,,2020,7
LFHC,1.0,,,2020,7
LFBI,1.0,,,2020,7
HKMO,1.0,,,2020,7
LFHJ,1.0,,,2020,7
EHGG,1.0,,,2020,7
LSMP,1.0,,,2020,7
LEGE,1.0,,,2020,7
LIRN,1.0,,,2020,7
FAOR,1.0,,,2020,7
LIET,1.0,,,2020,7
LICG,1.0,,,2020,7
EINN,1.0,,,2020,7
LICZ,,429.0,,2020,7
LTBW,,54.0,,2020,7
LICR,,49.0,,2020,7
EDDV,,31.0,,2020,7
EGKR,,16.0,,2020,7
LIMN,,13.0,,2020,7
LIPM,,12.0,,2020,7
LYKI,,8.0,,2020,7
OMAM,,8.0,,2020,7
LAGJ,,7.0,,2020,7
LFDQ,,5.0,,2020,7
EPKS,,5.0,,2020,7
OMAD,,4.0,,2020,7
LHPR,,4.0,,2020,7
LIDP,,4.0,,2020,7
OMDW,,4.0,,2020,7
LGSA,,4.0,,2020,7
LIBG,,3.0,,2020,7
EDDG,,3.0,,2020,7
LFNR,,3.0,,2020,7
LOGT,,3.0,,2020,7
LLSD,,2.0,,2020,7
ESKX,,2.0,,2020,7
LSGL,,2.0,,2020,7
LILA,,2.0,,2020,7
LIQW,,2.0,,2020,7
LILQ,,2.0,,2020,7
LOWI,,2.0,,2020,7
LIBP,,2.0,,2020,7
ENGM,,2.0,,2020,7
LSPU,,2.0,,2020,7
LSGB,,2.0,,2020,7
EGNM,,1.0,,2020,7
KHPN,,1.0,,2020,7
ETSI,,1.0,,2020,7
LETF,,1.0,,2020,7
LILE,,1.0,,2020,7
LFKA,,1.0,,2020,7
LHPA,,1.0,,2020,7
EGNR,,1.0,,2020,7
LSZG,,1.0,,2020,7
LOLF,,1.0,,2020,7
EDLN,,1.0,,2020,7
RJAA,,1.0,,2020,7
LFBY,,1.0,,2020,7
LIDG,,1.0,,2020,7
LFKS,,1.0,,2020,7
LFHI,,1.0,,2020,7
EGLD,,1.0,,2020,7
LDPM,,1.0,,2020,7
OMAF,,1.0,,2020,7
LIPS,,1.0,,2020,7
LIDW,,1.0,,2020,7
LFMI,,1.0,,2020,7
LEVT,,1.0,,2020,7
EDQM,,1.0,,2020,7
LSZB,,1.0,,2020,7
LFNE,,1.0,,2020,7
LFTW,,1.0,,2020,7
LPCS,,1.0,,2020,7
LIQL,,1.0,,2020,7
GCLB,,1.0,,2020,7
LIQN,,1.0,,2020,7
LFFK,,1.0,,2020,7
EDTB,,1.0,,2020,7
EDRY,,1.0,,2020,7
LFMY,,1.0,,2020,7
EDLW,,1.0,,2020,7
LOWK,,1.0,,2020,7
EBKT,,1.0,,2020,7
OERK,,1.0,,2020,7
LFGB,,1.0,,2020,7
ETNG,,1.0,,2020,7
UNCC,,1.0,,2020,7
LFBO,,1.0,,2020,7
LILH,,1.0,,2020,7
LFKO,,1.0,,2020,7
LG55,,1.0,,2020,7
K06C,,1.0,,2020,7
LFFE,,1.0,,2020,7
ULLI,,1.0,,2020,7
LFTZ,,1.0,,2020,7
TJIG,,1.0,,2020,7
EDRP,,1.0,,2020,7
LIMR,,1.0,,2020,7
LKCV,,1.0,,2020,7
LIQS,,1.0,,2020,7
LFMT,,1.0,,2020,7
LFCK,,1.0,,2020,7
LOAN,,1.0,,2020,7
LPSR,,1.0,,2020,7
LLHZ,,1.0,,2020,7
EGHI,,1.0,,2020,7
LIPB,,1.0,,2020,7
LOLW,,1.0,,2020,7
EPPK,,1.0,,2020,7
HEEM,,1.0,,2020,7
LIPA,,1.0,,2020,7
